"filename", "language", "YAML", "Markdown", "JSON", "HTML", "MS SQL", "TypeScript", "JSON with Comments", "Docker", "TypeScript JSX", "XML", "PostCSS", "JavaScript", "Properties", "comment", "blank", "total"
"/Users/pedroottoni/ibiferti/backend/src/database/adubacao.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/Users/pedroottoni/ibiferti/backend/src/database/analises.ts", "TypeScript", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 2, 19, 160
"/Users/pedroottoni/ibiferti/backend/src/database/db.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/pedroottoni/ibiferti/backend/src/database/fazendas.ts", "TypeScript", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 15, 109
"/Users/pedroottoni/ibiferti/backend/src/database/schema.ts", "TypeScript", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 11, 35, 196
"/Users/pedroottoni/ibiferti/backend/src/middlewares/authMiddleware.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/Users/pedroottoni/ibiferti/backend/src/routes/adminRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 13, 18, 182
"/Users/pedroottoni/ibiferti/backend/src/routes/adubacaoRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 10, 14, 117
"/Users/pedroottoni/ibiferti/backend/src/routes/analisesRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 11, 27, 224
"/Users/pedroottoni/ibiferti/backend/src/routes/authRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 3, 16, 94
"/Users/pedroottoni/ibiferti/backend/src/routes/fazendasRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 11, 18, 133
"/Users/pedroottoni/ibiferti/backend/src/routes/standaloneRoutes.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/Users/pedroottoni/ibiferti/backend/src/schemas/adubacaoSchema.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 6, 6, 86
"/Users/pedroottoni/ibiferti/backend/src/schemas/authSchema.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/pedroottoni/ibiferti/backend/src/schemas/calagemSchema.ts", "TypeScript", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 38, 222
"/Users/pedroottoni/ibiferti/backend/src/server.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/pedroottoni/ibiferti/backend/src/services/calculadoraAdubacao.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/pedroottoni/ibiferti/backend/src/services/calculadoraCalagem.ts", "TypeScript", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 28, 149
"/Users/pedroottoni/ibiferti/backend/src/services/motorAdubacao.ts", "TypeScript", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 13, 23, 188
"/Users/pedroottoni/ibiferti/backend/src/services/motorCalagem.ts", "TypeScript", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 1, 28, 279
"/Users/pedroottoni/ibiferti/backend/src/services/motorStandalone.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 13, 20, 157
"/Users/pedroottoni/ibiferti/backend/src/services/tabelaSmp.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 19, 8, 70
