Date : 2026-07-08 15:38:03
Directory : /Users/pedroottoni/ibiferti
Total : 99 files,  27790 codes, 426 comments, 1599 blanks, all 29815 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/pedroottoni/ibiferti/frontend/Dockerfile                              | Docker             |          7 |          4 |          5 |         16 |
| /Users/pedroottoni/ibiferti/frontend/README.md                               | Markdown           |         60 |          0 |         14 |         74 |
| /Users/pedroottoni/ibiferti/frontend/eslint.config.js                        | JavaScript         |         22 |          0 |          2 |         24 |
| /Users/pedroottoni/ibiferti/frontend/index.html                              | HTML               |         13 |          0 |          1 |         14 |
| /Users/pedroottoni/ibiferti/frontend/nginx.conf                              | Properties         |         29 |          5 |          6 |         40 |
| /Users/pedroottoni/ibiferti/frontend/package-lock.json                       | JSON               |      4,670 |          0 |          1 |      4,671 |
| /Users/pedroottoni/ibiferti/frontend/package.json                            | JSON               |         44 |          0 |          1 |         45 |
| /Users/pedroottoni/ibiferti/frontend/public/favicon.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/pedroottoni/ibiferti/frontend/public/favicon2.svg                     | XML                |         11 |          0 |          3 |         14 |
| /Users/pedroottoni/ibiferti/frontend/public/icons.svg                        | XML                |         24 |          0 |          1 |         25 |
| /Users/pedroottoni/ibiferti/frontend/src/App.css                             | PostCSS            |          1 |          0 |          0 |          1 |
| /Users/pedroottoni/ibiferti/frontend/src/App.tsx                             | TypeScript JSX     |         54 |         10 |          8 |         72 |
| /Users/pedroottoni/ibiferti/frontend/src/assets/react.svg                    | XML                |          1 |          0 |          0 |          1 |
| /Users/pedroottoni/ibiferti/frontend/src/assets/vite.svg                     | XML                |          1 |          0 |          1 |          2 |
| /Users/pedroottoni/ibiferti/frontend/src/components/Modal.tsx                | TypeScript JSX     |         28 |          0 |          3 |         31 |
| /Users/pedroottoni/ibiferti/frontend/src/components/ModalDetalhesAnalise.tsx | TypeScript JSX     |        161 |          5 |         12 |        178 |
| /Users/pedroottoni/ibiferti/frontend/src/components/Navbar.tsx               | TypeScript JSX     |         86 |          3 |          5 |         94 |
| /Users/pedroottoni/ibiferti/frontend/src/components/ProtectedRoute.tsx       | TypeScript JSX     |         23 |         10 |          6 |         39 |
| /Users/pedroottoni/ibiferti/frontend/src/contexts/AuthContext.tsx            | TypeScript JSX     |         86 |         18 |         29 |        133 |
